,index,Rank,Name,Platform,Platform2,Year,Year2,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genero,Plataforma
0,0,1.0,Wii Sports,Wii,Wii,2006.0,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,0,15.0
1,1,2.0,Super Mario Bros.,NES,OTRA,1985.0,1993,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,1,20.0
2,2,3.0,Mario Kart Wii,Wii,Wii,2008.0,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,7,15.0
3,3,4.0,Wii Sports Resort,Wii,Wii,2009.0,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,0,15.0
4,4,5.0,Pokemon Red/Pokemon Blue,GB,OTRA,1996.0,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,11,20.0
5,5,6.0,Tetris,GB,OTRA,1989.0,1993,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,6,20.0
6,6,7.0,New Super Mario Bros.,DS,DS,2006.0,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,1,2.0
7,7,8.0,Wii Play,Wii,Wii,2006.0,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,4,15.0
8,8,9.0,New Super Mario Bros. Wii,Wii,Wii,2009.0,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,1,15.0
9,9,10.0,Duck Hunt,NES,OTRA,1984.0,1993,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,8,20.0
10,10,11.0,Nintendogs,DS,DS,2005.0,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,9,2.0
11,11,12.0,Mario Kart DS,DS,DS,2005.0,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,7,2.0
12,12,13.0,Pokemon Gold/Pokemon Silver,GB,OTRA,1999.0,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,11,20.0
13,13,14.0,Wii Fit,Wii,Wii,2007.0,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,0,15.0
14,14,15.0,Wii Fit Plus,Wii,Wii,2009.0,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,0,15.0
15,15,16.0,Kinect Adventures!,X360,X360,2010.0,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,4,17.0
16,16,17.0,Grand Theft Auto V,PS3,PS3,2013.0,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2,9.0
17,17,18.0,Grand Theft Auto: San Andreas,PS2,PS2,2004.0,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,2,8.0
18,18,19.0,Super Mario World,SNES,SNES,1990.0,1993,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,1,14.0
